node,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06
RS01SBPD-DP01A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS01SBPS-PC01A,,,,,,,,,,,,,,,,65%,63%,41%,50%,63%,65%,67%,82%,83%,78%,79%,83%,83%,83%,83%,83%,83%,83%,78%,83%,83%,80%,83%,83%,83%,83%,83%,69%,74%,77%,67%,67%,67%
RS01SBPS-SF01A,,,,,,,,,,,,,,,,68%,59%,59%,90%,86%,87%,86%,90%,87%,83%,90%,90%,82%,79%,90%,86%,80%,80%,71%,79%,80%,71%,74%,79%,80%,80%,79%,62%,,,,,
RS01SLBS-LJ01A,,,,,,,,,,,,,,10%,54%,80%,76%,74%,80%,76%,78%,80%,80%,80%,53%,80%,80%,80%,80%,80%,80%,80%,80%,60%,60%,59%,61%,79%,80%,80%,63%,60%,54%,60%,60%,60%,60%,60%
RS01SLBS-MJ01A,,,,,,,,,,,,,,,63%,100%,93%,90%,100%,96%,95%,97%,100%,100%,97%,100%,100%,95%,98%,97%,97%,97%,97%,97%,95%,97%,92%,97%,97%,95%,97%,97%,97%,96%,95%,95%,97%,97%
RS01SUM1-LJ01B,,,,,,,,,,,,,,,43%,100%,93%,90%,100%,95%,97%,100%,100%,100%,100%,100%,100%,100%,97%,97%,97%,97%,97%,97%,95%,97%,90%,97%,97%,95%,97%,97%,94%,96%,95%,95%,97%,97%
RS01SUM2-MJ01B,,,,,,,,,,,,,,,9%,20%,19%,18%,20%,18%,19%,20%,20%,15%,20%,20%,20%,20%,20%,20%,20%,20%,20%,20%,20%,20%,20%,20%,20%,20%,20%,20%,6%,,12%,20%,20%,20%
RS03ASHS-MJ03B,,,,,,,,,,,,,,,3%,44%,38%,37%,48%,41%,47%,50%,50%,47%,29%,42%,43%,44%,42%,44%,42%,43%,44%,43%,42%,43%,42%,44%,43%,42%,43%,44%,40%,43%,44%,42%,44%,43%
RS03AXBS-LJ03A,,,,,,,,,,,,,,15%,60%,60%,59%,56%,60%,59%,58%,59%,60%,26%,39%,80%,80%,80%,80%,80%,80%,80%,80%,66%,60%,56%,61%,80%,80%,80%,80%,80%,61%,60%,60%,60%,60%,60%
RS03AXBS-MJ03A,,,,,,,,,,,,,,35%,100%,100%,93%,90%,100%,95%,97%,100%,53%,50%,50%,50%,47%,48%,47%,47%,47%,47%,47%,47%,45%,47%,76%,97%,97%,95%,97%,97%,97%,96%,97%,95%,97%,97%
RS03AXPD-DP03A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS03AXPS-PC03A,,,,,,,,,,,,,,,,81%,79%,53%,80%,80%,81%,83%,83%,82%,65%,66%,64%,50%,50%,66%,66%,51%,51%,48%,50%,50%,69%,77%,67%,70%,68%,67%,67%,66%,66%,67%,63%,66%
RS03AXPS-SF03A,,,,,,,,,,,,,,,,64%,19%,55%,80%,71%,74%,67%,70%,66%,73%,80%,80%,90%,89%,79%,80%,80%,80%,65%,80%,77%,78%,90%,85%,90%,89%,70%,65%,62%,60%,60%,60%,60%
RS03CCAL-MJ03F,,,,,,,,,,,,,,10%,100%,100%,100%,90%,100%,93%,97%,100%,100%,100%,100%,97%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
RS03ECAL-MJ03E,3%,,,,,,,,,,,,,,93%,100%,100%,90%,100%,93%,97%,100%,100%,100%,100%,97%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
RS03INT1-MJ03C,,,,,,,,,,,,,,,29%,40%,40%,35%,39%,35%,37%,40%,40%,39%,26%,20%,20%,20%,20%,20%,20%,20%,20%,20%,19%,20%,17%,20%,20%,20%,20%,19%,20%,20%,20%,20%,20%,20%
RS03INT2-MJ03D,,,,,,,,,,,,,,10%,100%,100%,97%,90%,100%,95%,97%,100%,100%,100%,100%,98%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,90%,50%,50%,50%,50%,50%,50%,50%,50%,50%,50%,50%