platform,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06
RS01SBPD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS01SBPS,,,,,,,,,,,,,,,,67%,60%,53%,75%,77%,79%,79%,87%,86%,81%,86%,88%,82%,81%,88%,85%,81%,81%,74%,81%,81%,74%,78%,80%,81%,81%,81%,65%,28%,29%,25%,25%,25%
RS01SLBS,,,,,,,,,,,,,,7%,57%,86%,81%,79%,86%,82%,83%,85%,86%,86%,65%,86%,86%,84%,85%,85%,85%,85%,85%,70%,70%,70%,70%,84%,85%,84%,73%,71%,66%,70%,70%,70%,71%,70%
RS01SUM1,,,,,,,,,,,,,,,43%,100%,93%,90%,100%,95%,97%,100%,100%,100%,100%,100%,100%,100%,97%,97%,97%,97%,97%,97%,95%,97%,90%,97%,97%,95%,97%,97%,94%,96%,95%,95%,97%,97%
RS01SUM2,,,,,,,,,,,,,,,9%,20%,19%,18%,20%,18%,19%,20%,20%,15%,20%,20%,20%,20%,20%,20%,20%,20%,20%,20%,20%,20%,20%,20%,20%,20%,20%,20%,6%,,12%,20%,20%,20%
RS03ASHS,,,,,,,,,,,,,,,3%,44%,38%,37%,48%,41%,47%,50%,50%,47%,29%,42%,43%,44%,42%,44%,42%,43%,44%,43%,42%,43%,42%,44%,43%,42%,43%,44%,40%,43%,44%,42%,44%,43%
RS03AXBS,,,,,,,,,,,,,,21%,71%,71%,69%,66%,71%,69%,69%,71%,58%,33%,42%,71%,70%,71%,70%,71%,71%,70%,71%,60%,56%,53%,65%,85%,85%,84%,85%,85%,71%,70%,71%,70%,71%,70%
RS03AXPD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS03AXPS,,,,,,,,,,,,,,,,70%,41%,54%,80%,74%,76%,73%,75%,72%,70%,75%,74%,75%,74%,74%,75%,69%,69%,59%,69%,67%,75%,85%,78%,83%,81%,69%,66%,64%,62%,63%,61%,62%
RS03CCAL,,,,,,,,,,,,,,10%,100%,100%,100%,90%,100%,93%,97%,100%,100%,100%,100%,97%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
RS03ECAL,3%,,,,,,,,,,,,,,93%,100%,100%,90%,100%,93%,97%,100%,100%,100%,100%,97%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
RS03INT1,,,,,,,,,,,,,,,29%,40%,40%,35%,39%,35%,37%,40%,40%,39%,26%,20%,20%,20%,20%,20%,20%,20%,20%,20%,19%,20%,17%,20%,20%,20%,20%,19%,20%,20%,20%,20%,20%,20%
RS03INT2,,,,,,,,,,,,,,10%,100%,100%,97%,90%,100%,95%,97%,100%,100%,100%,100%,98%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,90%,50%,50%,50%,50%,50%,50%,50%,50%,50%,50%,50%