node,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,NaT
GA01SUMO-RID16,,,,,,,,,,,,,,,,,,,,,0.4032258064516129,0.7375,0.7217741935483871,0.7458333333333333,0.7258064516129032,0.6169354838709677,0.625,0.6290322580645161,0.7125,0.8548387096774194,0.8508064516129032,0.857758620689655,0.8629032258064516,0.8583333333333334,0.8508064516129032,0.8583333333333334,0.7862903225806452,0.8387096774193549,0.825,0.7983870967741936,0.8500000000000001,0.8467741935483871,0.7258064516129034,0.7098214285714285,0.685483870967742,0.575,0.5846774193548387,0.5083333333333333,0.3629032258064516,0.38306451612903225,0.375,,
GA01SUMO-RII11,,,,,,,,,,,,,,,,,,,,,0.3022700119474314,0.5296296296296297,0.5292712066905616,0.4901234567901234,0.4862604540023895,0.48148148148148145,0.48148148148148145,0.14097968936678618,0.6629629629629629,0.5806451612903224,0.6678614097968935,0.6615581098339719,0.7168458781362006,0.6765432098765432,0.5292712066905616,0.40493827160493834,0.37873357228195925,0.41816009557945044,0.41728395061728396,0.48745519713261676,0.8222222222222221,0.8100358422939067,0.8100358422939067,0.798941798941799,0.7980884109916367,0.7962962962962963,0.6069295101553167,0.517283950617284,0.4193548387096775,0.4193548387096775,0.32716049382716045,,
GA01SUMO-SBD11,,,,,,,,,,,,,,,,,,,,,0.18548387096774194,0.26666666666666666,0.25,0.10833333333333334,0.024193548387096774,0.03225806451612903,,,0.375,0.685483870967742,0.5080645161290323,0.603448275862069,0.685483870967742,0.6833333333333333,0.6532258064516129,0.6833333333333333,0.6209677419354839,0.685483870967742,0.6833333333333333,0.6532258064516129,0.6916666666666667,0.685483870967742,0.6693548387096775,0.6785714285714286,0.6774193548387097,0.65,0.6693548387096774,0.6666666666666667,0.6532258064516129,0.6774193548387097,0.4833333333333333,,
GA01SUMO-SBD12,,,,,,,,,,,,,,,,,,,,,0.1935483870967742,0.2866666666666667,0.23225806451612904,0.2,0.2,0.2645161290322581,0.26666666666666666,0.2774193548387097,0.5933333333333334,0.7741935483870968,0.767741935483871,0.7724137931034483,0.7741935483870968,0.7733333333333333,0.767741935483871,0.7733333333333333,0.7225806451612903,0.7741935483870968,0.7066666666666667,0.7354838709677419,0.74,0.7483870967741936,0.735483870967742,0.7428571428571429,0.7483870967741936,0.7266666666666668,0.7354838709677419,0.7333333333333334,0.7225806451612903,0.767741935483871,0.7733333333333333,,
GA02HYPM-RIM01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03333333333333333,,,,,,,,,,,,0.03333333333333333,,,,,,,,,,,,
GA02HYPM-WFP02,,,,,,,,,,,,,,,,,,,,,0.008064516129032258,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA02HYPM-WFP03,,,,,,,,,,,,,,,,,,,,,0.016129032258064516,0.26666666666666666,,,,,,,,,,,,,,,,,,0.008064516129032258,0.008333333333333333,,,,,,,,,,,,
GA03FLMA-RIM01,,,,,,,,,,,,,,,,,,,,,0.4665012406947892,0.9974358974358974,1.0,0.9051282051282054,0.15632754342431765,,,,0.06923076923076922,,,,,,,,,,,,,,,,,,,,,,,,
GA03FLMA-RIS01,,,,,,,,,,,,,,,,,,,,,0.4731182795698925,1.0,1.0,0.8444444444444444,0.16129032258064516,,,,0.0888888888888889,,,,,,,,,,,,,,,,,,,,,,,,
GA03FLMB-RIM01,,,,,,,,,,,,,,,,,,,,,0.3548387096774194,1.0,1.0,0.9025641025641028,0.32009925558312663,,,,0.26666666666666666,0.22828784119106693,,,,,,,,,,,,,,,,,,,,,,,
GA03FLMB-RIS01,,,,,,,,,,,,,,,,,,,,,0.3548387096774193,0.9777777777777779,0.989247311827957,0.9555555555555556,0.03225806451612903,,,,0.24444444444444446,0.21505376344086022,,,,,,,,,,,,,,,,,,,,,,,
GA05MOAS-GL364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9666666666666667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7666666666666667,,
GA05MOAS-GL470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9888888888888889,1.0,1.0,1.0,1.0,0.6555555555555556,,,,,,,
GA05MOAS-GL493,,,,,,,,,,,,,,,,,,,,,0.5483870967741935,0.9888888888888889,1.0,1.0,1.0,1.0,1.0,1.0,0.4000000000000001,,,,,,,,,,,,,,,,,,,,,,,,
GA05MOAS-GL494,,,,,,,,,,,,,,,,,,,,,0.3225806451612903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA05MOAS-GL495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA05MOAS-GL496,,,,,,,,,,,,,,,,,,,,,0.5806451612903226,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4838709677419355,,,,,,,,,,,,,,,,,,,,,,,
GA05MOAS-GL538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2333333333333333,1.0,1.0,1.0,0.989247311827957,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.03225806451612903,,,,,,,,,,,,,
GA05MOAS-PG562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6236559139784946,0.7666666666666666,0.5376344086021505,,,,,,,,,,,,,,,,
GA05MOAS-PG563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,0.6612903225806451,0.6451612903225806,,,,,,,,,,,,,,,,,,,,,,
GA05MOAS-PG578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7166666666666667,0.8333333333333334,0.8279569892473119,0.8273809523809524,0.8333333333333334,0.8166666666666668,0.8010752688172044,0.49444444444444446,,,,,
GA05MOAS-PG580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GI01SUMO-RID16,,,,,,,,,,,,,,,0.12083333333333332,,,,,,,,,0.31666666666666665,0.06854838709677419,0.3588709677419355,0.6749999999999999,0.5846774193548387,0.5291666666666667,0.5524193548387096,0.5362903225806451,0.5474137931034482,0.03225806451612903,0.25416666666666665,0.532258064516129,0.4916666666666666,0.7217741935483871,0.7258064516129032,0.6583333333333334,0.5725806451612904,0.6125,0.6411290322580645,0.18951612903225806,,,,,,,0.7258064516129032,0.8583333333333334,,
GI01SUMO-RII11,,,,,,,,,,,,,,,0.16666666666666663,,,,,,,,,,,0.4599761051373957,0.8333333333333334,0.8243727598566308,0.4320987654320987,0.5758661887694146,0.6774193548387096,0.6577266922094508,0.020310633213859012,0.34074074074074057,0.3416965352449224,0.39382716049382716,0.7001194743130227,0.7885304659498208,0.7876543209876543,0.7885304659498208,0.7765432098765431,0.6774193548387096,0.2186379928315412,,0.0023894862604540022,0.12345679012345682,,,,0.7275985663082437,0.8012345679012347,,
GI01SUMO-SBD11,,,,,,,,,,,,,,,0.11666666666666667,,,,,,,,,,0.03225806451612903,0.3629032258064516,0.6833333333333333,0.685483870967742,0.6666666666666667,0.685483870967742,0.6209677419354839,,,,,,0.3064516129032258,0.43548387096774194,0.43333333333333335,0.41935483870967744,0.45833333333333337,0.5,0.1532258064516129,,,0.041666666666666664,,,,0.3709677419354839,0.43333333333333335,,
GI01SUMO-SBD12,,,,,,,,,,,,,,,0.22777777777777777,,,,,,,,,0.005555555555555556,,0.3333333333333333,0.6222222222222222,0.6236559139784946,0.6111111111111112,0.6236559139784946,0.5698924731182796,0.10344827586206896,,0.08333333333333333,0.08602150537634408,,0.5591397849462366,0.7903225806451614,0.7888888888888889,0.7795698924731184,0.688888888888889,0.45698924731182794,0.11827956989247312,,,,,,,0.6612903225806452,0.6833333333333332,,
GI02HYPM-RIM01,,,,,,,,,,,,,,,,,,,,,,,,,,0.4838709677419355,1.0,0.967741935483871,0.4,,,,,,,,0.6774193548387096,0.3225806451612903,,,,,,,,,,,,0.7096774193548387,,,
GI02HYPM-WFP02,,,,,,,,,,,,,,,0.4083333333333333,0.7419354838709677,0.6666666666666666,0.28225806451612906,,,,,,,,,,,,,,,,,,,0.6290322580645161,0.21774193548387097,,,,,,,,,,,,0.42741935483870974,,,
GI03FLMA-RI000,,,,,,,,,,,,,,,0.6333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.38709677419354843,,,
GI03FLMA-RIM01,,,,,,,,,,,,,,,0.04615384615384615,0.07692307692307693,0.07692307692307693,0.07444168734491316,0.06203473945409429,,,,,,,0.4193548387096773,1.0,1.0,,,,,,,,,0.6451612903225807,1.0,1.0,0.8312655086848634,,,,,,,,,,0.7741935483870968,0.9000000000000002,,
GI03FLMA-RIS01,,,,,,,,,,,,,,,0.5888888888888889,1.0,1.0,0.913978494623656,0.6774193548387096,,,,,,,0.40860215053763443,0.9666666666666667,0.913978494623656,,,,,,,,,0.6129032258064515,0.935483870967742,,,,,,,,,,,,0.7741935483870966,0.8333333333333334,,
GI03FLMB-RI000,,,,,,,,,,,,,,,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.35483870967741943,,,
GI03FLMB-RIM01,,,,,,,,,,,,,,,0.1794871794871795,0.38461538461538464,0.38461538461538464,0.38461538461538464,0.38461538461538464,0.05494505494505494,,,,,,0.3548387096774194,1.0,1.0,0.5666666666666665,,,,,,,,0.5980148883374692,0.9230769230769231,0.9230769230769231,0.803970223325062,0.2153846153846154,,,,,,,,,0.8064516129032259,0.9384615384615386,,
GI03FLMB-RIS01,,,,,,,,,,,,,,,0.45555555555555555,1.0,1.0,0.989247311827957,0.913978494623656,0.10714285714285714,,,,,,0.06451612903225806,,,0.2111111111111111,,,,,,,,0.5806451612903225,0.978494623655914,0.9888888888888889,0.26881720430107525,,,,,,,,,,0.8064516129032256,0.9111111111111111,,
GI05MOAS-GL469,,,,,,,,,,,,,,,0.26666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GI05MOAS-GL477,,,,,,,,,,,,,,,0.6999999999999998,1.0,1.0,1.0,1.0,1.0,1.0,0.26666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GI05MOAS-GL478,,,,,,,,,,,,,,,0.03333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GI05MOAS-GL484,,,,,,,,,,,,,,,,,,,,,,,,,,0.3225806451612903,,,,,,,,,,,0.7419354838709676,1.0,0.6333333333333333,0.41935483870967744,,,,,,,,,,,,,
GI05MOAS-GL485,,,,,,,,,,,,,,,,,,,,,,,,,,0.4838709677419355,1.0,1.0,0.6333333333333333,,,,,,,,,,,,,,,,,,,,,,,,
GI05MOAS-GL495,,,,,,,,,,,,,,,,,,,,,,,,,,0.4838709677419355,1.0,1.0,0.13333333333333333,,,,,,,,,,,,,,,,,,,,,,,,
GI05MOAS-GL559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7419354838709676,1.0,0.6,0.8064516129032256,1.0,1.0,0.17204301075268816,,,,,,,,,,
GI05MOAS-PG528,,,,,,,,,,,,,,,,,,,,,,,,,,0.3225806451612903,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6290322580645161,0.6666666666666666,0.3494623655913978,,,,,,,,,,,,,,,,,,,,
GI05MOAS-PG564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GI05MOAS-PG577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GP02HYPM-RIM01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7419354838709677,,,,,,,,,,,,,,,
GP02HYPM-WFP02,0.1774193548387097,0.9274193548387096,0.9,0.9435483870967742,0.9333333333333333,1.0,0.9838709677419355,0.8214285714285714,,,,0.3,1.0,0.9758064516129032,1.0,0.5403225806451613,,,,,,,,0.8083333333333333,0.9516129032258065,0.9596774193548387,0.9083333333333334,0.935483870967742,0.925,0.685483870967742,0.06451612903225806,,,,,,,0.3870967741935484,,,,,,,,,,,,,,,
GP02HYPM-WFP03,0.1935483870967742,0.846774193548387,0.9333333333333333,0.9758064516129032,0.95,0.967741935483871,0.9758064516129032,0.8303571428571428,,,,0.23333333333333334,0.75,0.7338709677419355,0.7333333333333334,0.3951612903225806,,,,,,,,0.8500000000000001,0.935483870967742,0.9112903225806452,0.9249999999999999,0.8951612903225807,0.8333333333333334,0.6451612903225806,0.008064516129032258,,,,,,,0.5403225806451613,,,,,,,,,,,,,,,
GP03FLMA-RIM01,,,,,,,,,,,,0.2333333333333334,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.37692307692307697,,,,,,,0.06153846153846154,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.034739454094292806,,,,0.238213399503722,,,,,,,,,,,,,,,,
GP03FLMA-RIS01,,,,,,,,,,,,0.43333333333333335,1.0,1.0,1.0,1.0,0.6555555555555556,,,,,,,0.8000000000000002,1.0,0.978494623655914,1.0,0.989247311827957,0.9888888888888889,0.989247311827957,0.978494623655914,0.9655172413793104,0.41935483870967744,,,,0.23655913978494625,,,,,,,,,,,,,,,,
GP03FLMB-RIM01,0.09925558312655086,0.38461538461538464,0.38461538461538464,0.38461538461538464,0.3743589743589744,0.38461538461538464,0.38461538461538464,0.37087912087912084,,,,0.028205128205128202,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.020512820512820513,,,,,,,0.22564102564102562,0.3076923076923077,0.3076923076923077,0.3076923076923077,0.3076923076923077,0.3076923076923077,0.3076923076923077,0.3076923076923077,0.09814323607427054,,,,,,,,0.2233250620347394,0.5769230769230768,0.48635235732009935,,,,,,,,,,,
GP03FLMB-RIS01,0.24731182795698925,0.956989247311828,1.0,1.0,1.0,1.0,1.0,0.9285714285714285,,,,0.36666666666666664,1.0,1.0,1.0,1.0,0.27777777777777773,,,,,,,0.7333333333333333,1.0,1.0,0.9777777777777779,0.978494623655914,0.5888888888888889,,0.053763440860215055,,,,,,,,,0.02150537634408602,,,,,,,,,,,,,
GP05MOAS-GL276,,,,,,,,,,,,0.35555555555555557,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.38709677419354843,0.13333333333333333,0.3440860215053763,0.022222222222222223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GP05MOAS-GL361,,,,,,,,0.25,0.04301075268817204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GP05MOAS-GL362,,,,,,,,,,,,,,0.06451612903225806,0.10000000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GP05MOAS-GL363,0.41935483870967744,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.22580645161290322,0.2333333333333333,0.7096774193548386,0.03333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GP05MOAS-GL364,0.3870967741935483,1.0,0.9888888888888889,1.0,1.0,0.7204301075268816,0.6129032258064516,0.35714285714285715,0.09677419354838708,0.16666666666666666,0.8064516129032256,0.10000000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GP05MOAS-GL365,0.40860215053763443,1.0,1.0,0.8602150537634409,0.3333333333333333,0.04301075268817204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13333333333333333,1.0,0.8709677419354839,0.7333333333333333,1.0,1.0,0.5806451612903226,0.41935483870967744,,,,,,,,,,
GP05MOAS-GL453,,,,,,,,,,,,,,0.03225806451612903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GP05MOAS-GL523,,,,,,,,,,,,,,,,,,,,,,,,0.7666666666666667,1.0,1.0,1.0,1.0,1.0,0.989247311827957,1.0,1.0,0.8172043010752689,0.03333333333333333,,,,,,,,,,,,,,,,,,,
GP05MOAS-GL525,,,,,,,,,,,,,,,,,,,,,,,,0.9666666666666667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25806451612903225,,,,,,,,,,,,,,,,,,,,
GP05MOAS-GL537,,,,,,,,,,,,,,,,,,,,,,,,0.6999999999999998,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9885057471264368,0.2903225806451613,0.10000000000000002,,,,,,,,,,,,,,,,,,,
GP05MOAS-PG514,,,,,,,,,,,,,,,,,,,,,,,,0.41428571428571426,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.2285714285714286,,,,,,,,,,,,,,,,,,,,,,,,
GP05MOAS-PG515,,,,,,,,,,,,,,,,,,,,,,,0.007168458781362007,0.21481481481481482,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2007168458781362,0.07279693486590039,,,,,,,,,,,,,,,,,,,,,
GP05MOAS-PG575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GP05MOAS-PG576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GS01SUMO-RID16,,,,,,,,,,,,,,,,,,,,0.34375,0.8508064516129032,0.8583333333333334,0.4919354838709677,0.05416666666666666,0.1814516129032258,0.4758064516129032,0.004166666666666667,,,0.504032258064516,0.8508064516129032,0.857758620689655,0.8629032258064516,0.8541666666666666,0.8508064516129032,0.8458333333333334,0.8346774193548387,0.75,0.8583333333333334,0.8467741935483871,0.7916666666666667,0.7903225806451614,0.7943548387096775,0.8035714285714285,0.810483870967742,0.7125,0.6209677419354839,0.47916666666666663,0.45967741935483875,0.2540322580645161,,,
GS01SUMO-RII11,,,,,,,,,,,,,,,,,,,,0.16666666666666663,0.49940262843488653,0.49135802469135803,0.28554360812425333,0.04938271604938271,0.19115890083632014,0.3524492234169654,,,0.13209876543209875,0.6176821983273596,0.6738351254480287,0.5925925925925926,0.5591397849462366,0.5555555555555556,0.4145758661887695,0.2777777777777778,0.3166069295101554,0.39665471923536444,0.31234567901234567,0.4074074074074074,0.26543209876543217,0.6367980884109914,0.7885304659498208,0.6878306878306878,0.6678614097968937,0.6493827160493827,0.5997610513739545,0.5370370370370371,0.46117084826762245,0.43249701314217454,0.43333333333333335,,
GS01SUMO-SBD11,,,,,,,,,,,,,,,,,,,,0.2767857142857143,0.6693548387096775,0.6833333333333333,0.3870967741935484,0.05,0.24193548387096775,0.45161290322580644,,,0.15833333333333333,0.685483870967742,0.6693548387096775,0.6810344827586207,0.685483870967742,0.6833333333333333,0.6693548387096775,0.5,0.6693548387096775,0.6370967741935484,0.625,0.6693548387096775,0.30833333333333335,0.685483870967742,0.6693548387096775,0.6785714285714286,0.685483870967742,0.6583333333333333,0.6693548387096774,0.6666666666666667,0.6532258064516129,0.685483870967742,0.5916666666666667,,
GS01SUMO-SBD12,,,,,,,,,,,,,,,,,,,,0.2797619047619047,0.8064516129032259,0.8055555555555555,0.6720430107526881,0.16666666666666666,0.23118279569892475,0.6344086021505376,0.5888888888888889,0.6397849462365591,0.6333333333333333,0.7150537634408604,0.8064516129032259,0.8103448275862069,0.8118279569892474,0.8111111111111112,0.8064516129032259,0.8111111111111112,0.7473118279569894,0.7526881720430106,0.8055555555555557,0.8064516129032259,0.7555555555555555,0.6505376344086021,0.6129032258064516,0.6190476190476191,0.6236559139784946,0.6111111111111112,0.6236559139784946,0.5222222222222223,0.446236559139785,0.4731182795698925,0.4777777777777778,,
GS02HYPM-RIM01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45161290322580644,0.25806451612903225,,,,,,,,,,,,,,,,,,,,,,
GS02HYPM-WFP02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.41129032258064513,0.04032258064516129,,,,,,,,,,,,,,,,,,,,,,
GS02HYPM-WFP03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3629032258064516,0.1532258064516129,,,,,,,,,,,,,,,,,,,,,,
GS03FLMA-RIM01,,,,,,,,,,,,,,,,,,,,0.10714285714285714,1.0,1.0,1.0,0.10256410256410257,,,,,,0.48387096774193566,0.8387096774193546,0.12997347480106106,,,,,,,,,,,,,,,,,,,,,
GS03FLMA-RIS01,,,,,,,,,,,,,,,,,,,,0.07142857142857142,0.7096774193548386,0.8111111111111112,0.6881720430107526,0.07777777777777778,,,,,,0.3118279569892473,0.4946236559139785,0.022988505747126436,,,,,,,,,,,,,,,,,,,,,
GS03FLMB-RIM01,,,,,,,,,,,,,,,,,,,,0.17857142857142855,1.0,1.0,0.9330024813895782,0.03333333333333333,,,,,,0.5161290322580643,1.0,0.23872679045092834,,,,,,,,,,,,,,,,,,,,,
GS03FLMB-RIS01,,,,,,,,,,,,,,,,,,,,0.17857142857142858,1.0,0.9888888888888889,0.8279569892473119,0.1111111111111111,,,,,,0.3333333333333333,0.6451612903225806,0.13793103448275865,,,,,,,,,,,,,,,,,,,,,
GS05MOAS-GL484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GS05MOAS-GL485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GS05MOAS-GL486,,,,,,,,,,,,,,,,,,,,0.2857142857142857,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3870967741935483,,,,,,,,,,,,,,,,,,,,,,,
GS05MOAS-GL524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3870967741935483,0.8709677419354839,,,,,,,,,,,,,,,,,,,,,,
GS05MOAS-GL560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3870967741935483,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5666666666666667,,,,,,,,,,,,
GS05MOAS-GL561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22580645161290322,1.0,1.0,0.967741935483871,1.0,0.5161290322580645,0.06666666666666667,,,,,,,,,,,,,,,,,
GS05MOAS-PG565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25268817204301075,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6277777777777778,0.6451612903225806,0.6666666666666666,0.6666666666666666,0.6451612903225806,0.24444444444444444,0.41397849462365593,0.044444444444444446,,,,,,,,,,,,
GS05MOAS-PG566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19354838709677416,0.5,0.5,0.5,0.5,0.5,0.5611111111111111,0.6666666666666666,0.3494623655913978,,,,,,,,,,,,,,,
