platform,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,NaT
GA01SUMO,,,,,,,,,,,,,,,,,,,,,0.29765395894428165,0.5159090909090909,0.505131964809384,0.468939393939394,0.45527859237536655,0.44061583577712615,0.4393939393939394,0.23240469208211142,0.6378787878787876,0.6620234604105572,0.6979472140762463,0.7045454545454548,0.7470674486803518,0.7212121212121212,0.626099706744868,0.5545454545454546,0.5139296187683283,0.559384164222874,0.5484848484848485,0.5872434017595306,0.8060606060606059,0.7983870967741933,0.7734604105571847,0.765422077922078,0.7609970674486803,0.7348484848484848,0.6231671554252199,0.5537878787878787,0.46480938416422285,0.47580645161290325,0.40075757575757576,,
GA02HYPM,,,,,,,,,,,,,,,,,,,,,0.01075268817204301,0.2666666666666667,,,,,,,0.003703703703703704,,,,,,,,,,,0.0035842293906810036,0.007407407407407408,,,,,,,,,,,,
GA03FLMA,,,,,,,,,,,,,,,,,,,,,0.4677419354838711,0.9979166666666667,1.0,0.8937500000000002,0.15725806451612903,,,,0.07291666666666667,,,,,,,,,,,,,,,,,,,,,,,,
GA03FLMB,,,,,,,,,,,,,,,,,,,,,0.3548387096774193,0.9958333333333333,0.997983870967742,0.9125000000000002,0.26612903225806456,,,,0.2625,0.22580645161290314,,,,,,,,,,,,,,,,,,,,,,,
GA05MOAS,,,,,,,,,,,,,,,,,,,,,0.0967741935483871,0.1325925925925926,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.1488888888888889,0.27598566308243727,0.24157706093189965,0.15555555555555556,0.15483870967741936,0.15555555555555556,0.14982078853046596,0.1688888888888889,0.13835125448028676,0.06666666666666667,0.022222222222222223,0.002150537634408602,0.22592592592592595,0.24444444444444444,0.24372759856630827,0.24365079365079367,0.24444444444444444,0.21925925925925926,0.17347670250896058,0.13259259259259257,0.06666666666666667,0.06666666666666667,0.051111111111111114,,
GI01SUMO,,,,,,,,,,,,,,,0.16222222222222218,,,,,,,,,0.05703703703703703,0.015053763440860214,0.41648745519713276,0.7637037037037037,0.742652329749104,0.49407407407407394,0.5878136200716843,0.6329749103942651,0.5057471264367815,0.017921146953405007,0.2607407407407406,0.311111111111111,0.3237037037037037,0.6501792114695343,0.7462365591397849,0.7333333333333333,0.7161290322580647,0.7074074074074073,0.6258064516129033,0.1942652329749104,,0.0014336917562724014,0.07777777777777779,,,,0.6867383512544804,0.7629629629629632,,
GI02HYPM,,,,,,,,,,,,,,,0.32666666666666666,0.5935483870967742,0.5333333333333333,0.22580645161290325,,,,,,,,0.0967741935483871,0.2,0.1935483870967742,0.08,,,,,,,,0.6387096774193548,0.23870967741935484,,,,,,,,,,,,0.4838709677419355,,,
GI03FLMA,,,,,,,,,,,,,,,0.3097222222222222,0.5,0.5,0.4879032258064517,0.45161290322580644,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6115591397849466,0.9958333333333332,0.989247311827957,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.7594086021505372,0.9919354838709679,0.875,0.7836021505376344,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6451612903225804,0.5916666666666668,,
GI03FLMB,,,,,,,,,,,,,,,0.32083333333333336,0.6666666666666666,0.6666666666666666,0.6653225806451614,0.6559139784946236,0.3764880952380951,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5336021505376347,0.875,0.875,0.6666666666666664,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.7298387096774195,0.9556451612903225,0.9569444444444444,0.8024193548387096,0.44999999999999957,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6559139784946237,0.6222222222222223,,
GI05MOAS,,,,,,,,,,,,,,,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.020512820512820513,,,,0.14888337468982635,0.2564102564102564,0.2564102564102564,0.16153846153846155,0.10256410256410256,0.09677419354838711,0.10256410256410256,0.053763440860215055,,,,0.11414392059553351,0.15384615384615385,0.09487179487179488,0.09429280397022333,0.07692307692307693,0.07692307692307693,0.013234077750206782,,,,,,,,,,
GP02HYPM,0.1648745519713262,0.7885304659498208,0.8148148148148148,0.8530465949820789,0.8370370370370371,0.8745519713261649,0.8709677419354839,0.734126984126984,,,,0.23703703703703705,0.7777777777777778,0.7598566308243728,0.7703703703703704,0.4157706093189964,,,,,,,,0.737037037037037,0.8387096774193549,0.8315412186379929,0.814814814814815,0.8136200716845878,0.7814814814814814,0.5913978494623655,0.03225806451612903,,,,,,,0.49462365591397844,,,,,,,,,,,,,,,
GP03FLMA,,,,,,,,,,,,0.2708333333333334,0.625,0.625,0.625,0.625,0.4291666666666667,,,,,,,0.2,0.25,0.24596774193548387,0.25,0.24798387096774194,0.24791666666666667,0.24798387096774194,0.24596774193548387,0.2435344827586207,0.10685483870967742,,,,0.23790322580645157,,,,,,,,,,,,,,,,
GP03FLMB,0.12701612903225806,0.49193548387096775,0.5,0.5,0.4916666666666667,0.5,0.5,0.4754464285714286,,,,0.09166666666666666,0.25,0.25,0.25,0.25,0.06875,,,,,,,0.3208333333333333,0.4375,0.4375,0.43333333333333335,0.4334677419354839,0.3604166666666666,0.25,0.2600806451612903,0.07974137931034482,,,,,,,,0.18548387096774188,0.4687499999999999,0.39516129032258074,,,,,,,,,,,
GP05MOAS,0.0628476084538376,0.15517241379310345,0.15459770114942528,0.14794215795328142,0.1206896551724138,0.09121245828698556,0.08342602892102337,0.08312807881773397,0.018909899888765295,0.020689655172413793,0.07842046718576197,0.02528735632183909,0.034482758620689655,0.039488320355951054,0.039655172413793106,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.020022246941045607,0.006896551724137932,0.018909899888765295,0.21034482758620693,0.2413793103448276,0.2413793103448276,0.2413793103448276,0.2413793103448276,0.21724137931034482,0.18909899888765297,0.18631813125695215,0.16587395957193815,0.07063403781979978,0.006896551724137932,,0.006896551724137932,0.05172413793103448,0.04505005561735261,0.03793103448275861,0.05172413793103448,0.05172413793103448,0.030033370411568415,0.021690767519466074,,,,,,,,,,
GS01SUMO,,,,,,,,,,,,,,,,,,,,0.22301587301587286,0.617921146953405,0.6155555555555555,0.38279569892473114,0.06592592592592593,0.1992831541218638,0.4207885304659498,0.07925925925925927,0.08530465949820788,0.17777777777777778,0.6164874551971327,0.7225806451612903,0.6766283524904214,0.6580645161290323,0.654074074074074,0.5670250896057349,0.46962962962962956,0.4974910394265234,0.5283154121863801,0.5029629629629631,0.5620071684587814,0.42814814814814794,0.6702508960573474,0.7555555555555555,0.6984126984126984,0.6888888888888889,0.656296296296296,0.6129032258064515,0.5362962962962963,0.47598566308243734,0.4286738351254481,0.3762962962962964,,
GS02HYPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.39426523297491045,0.11469534050179211,,,,,,,,,,,,,,,,,,,,,,
GS03FLMA,,,,,,,,,,,,,,,,,,,,0.10044642857142858,0.9455645161290323,0.9645833333333333,0.9415322580645161,0.09791666666666668,,,,,,0.4516129032258066,0.7741935483870965,0.1099137931034483,,,,,,,,,,,,,,,,,,,,,
GS03FLMB,,,,,,,,,,,,,,,,,,,,0.17857142857142852,1.0,0.9979166666666667,0.9133064516129031,0.04791666666666666,,,,,,0.48185483870967727,0.9334677419354839,0.21982758620689652,,,,,,,,,,,,,,,,,,,,,
GS05MOAS,,,,,,,,,,,,,,,,,,,,0.02857142857142857,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.22795698924731175,0.5204301075268817,0.43333333333333335,0.4301075268817204,0.4255555555555556,0.3806451612903226,0.35222222222222227,0.36666666666666664,0.29892473118279567,0.14888888888888888,0.1827956989247312,0.06555555555555555,,,,,,,,,,,,
