platform,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,NaT
CP01CNPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CP01CNSM,0.23650793650793647,0.642089093701997,0.49308755760368667,0.2551020408163265,,,,,,,,,,0.05683563748079876,,,,0.012698412698412698,0.4623655913978495,0.4031746031746032,0.3947772657450077,0.3486943164362519,0.353968253968254,0.3210445468509984,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.20276497695852533,0.01746031746031746,0.41321044546851,0.5873015873015873,0.4746543778801843,0.5176651305683564,0.4904761904761905,0.5576036866359447,0.5888888888888889,0.5084485407066052,0.4162826420890937,0.2806122448979592,0.3225806451612903,0.38095238095238093,0.37941628264208915,0.707936507936508,0.8187403993855605,0.5299539170506913,0.6730158730158731,,
CP01CNSP,,,,,,,,,,,,,,,,,,,,,0.1935483870967742,0.3870967741935484,,,,,,,,,,,,,,,,,,,,,,,,,,,
CP02PMCI,,,,,,0.43888888888888894,0.935483870967742,0.9166666666666666,0.7688172043010751,0.20967741935483872,0.16666666666666666,0.543010752688172,0.7000000000000001,,,,,,0.9193548387096775,0.9333333333333332,0.935483870967742,0.9193548387096775,0.9333333333333332,0.849462365591398,0.75,0.8387096774193549,0.7795698924731184,0.7528735632183908,0.7580645161290321,0.7555555555555555,0.7634408602150536,,0.8924731182795699,0.935483870967742,0.9333333333333332,0.7365591397849461,0.8388888888888889,0.8387096774193549,0.7526881720430106,0.1726190476190476,,,,0.43888888888888894,0.9193548387096775,0.935483870967742,0.9333333333333332,,
CP02PMCO,,,,,,0.5666666666666667,0.935483870967742,0.9166666666666666,0.6989247311827956,0.19892473118279572,0.16666666666666666,0.7903225806451614,0.9166666666666666,0.935483870967742,0.935483870967742,0.9285714285714285,0.9193548387096775,0.9277777777777777,0.9193548387096775,0.9333333333333332,0.935483870967742,0.9193548387096775,0.9333333333333332,0.8655913978494624,0.9166666666666666,0.935483870967742,0.9193548387096775,0.9310344827586207,0.08064516129032258,,0.3279569892473118,0.9333333333333332,0.9193548387096775,0.935483870967742,0.15,0.8763440860215054,0.9333333333333332,0.935483870967742,0.9193548387096775,0.9285714285714285,0.935483870967742,0.9166666666666666,0.935483870967742,0.8666666666666667,0.881720430107527,0.9301075268817205,0.8444444444444444,,
CP02PMUI,0.19444444444444445,0.23655913978494622,,,,0.5833333333333333,0.935483870967742,0.9166666666666666,0.6881720430107526,0.19892473118279572,0.16666666666666666,0.39247311827956993,0.16666666666666666,0.06989247311827958,,,,,0.8709677419354839,0.9333333333333332,0.935483870967742,0.9193548387096775,0.9333333333333332,0.935483870967742,0.9166666666666666,0.935483870967742,0.9193548387096775,0.9310344827586207,0.935483870967742,0.08333333333333333,0.3118279569892473,0.9333333333333332,0.9193548387096775,0.935483870967742,0.9333333333333332,0.9193548387096775,0.9333333333333332,0.935483870967742,0.9193548387096775,0.4285714285714286,,,,0.4222222222222222,0.9193548387096775,0.935483870967742,0.9333333333333332,,
CP02PMUO,0.08333333333333333,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.6055555555555555,0.935483870967742,0.9166666666666666,0.935483870967742,0.9193548387096775,0.9277777777777777,0.913978494623656,0.9166666666666666,0.935483870967742,0.8010752688172044,,,0.027777777777777776,0.7526881720430106,0.7666666666666666,0.7688172043010754,0.7526881720430106,0.8000000000000002,0.20430107526881724,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.48387096774193555,0.9333333333333332,0.9193548387096775,0.935483870967742,0.9555555555555556,0.9408602150537635,0.9777777777777779,0.978494623655914,0.9731182795698925,0.9523809523809524,0.935483870967742,0.9388888888888888,0.946236559139785,0.9444444444444443,0.9193548387096775,0.935483870967742,0.9333333333333332,,
CP03ISPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CP03ISSM,,,,,,,,,,,,,,0.23476702508960573,,,,,0.43906810035842303,0.5166666666666666,0.17204301075268816,0.34408602150537626,0.31666666666666665,0.489247311827957,0.4592592592592592,0.4229390681003584,0.3853046594982079,0.36590038314176243,0.3548387096774194,0.29074074074074074,0.2168458781362007,0.6796296296296297,0.6129032258064515,0.5860215053763441,0.4574074074074074,0.6594982078853047,0.7907407407407407,0.6774193548387097,0.557347670250896,0.40674603174603174,0.2329749103942652,,,0.4203703703703704,0.7311827956989246,0.4408602150537635,0.7277777777777779,,
CP03ISSP,,,,,,,,,,,,,,,,,,,,,0.21774193548387097,0.12096774193548386,,,,,,,,,,,,,,,,,,,,,,,,,,,
CP04OSPM,,,,,,0.4933333333333333,0.9225806451612903,0.9,0.9225806451612903,0.9032258064516128,0.9199999999999999,0.9161290322580644,0.9533333333333334,0.9741935483870968,0.9741935483870968,0.9714285714285715,0.967741935483871,0.9666666666666668,0.9032258064516128,0.9199999999999999,0.9225806451612903,0.9419354838709676,0.9733333333333334,0.9483870967741936,0.9,0.9225806451612903,0.9032258064516128,0.9172413793103449,0.9225806451612903,0.9199999999999999,0.8,0.9600000000000002,0.967741935483871,0.9741935483870968,0.8733333333333334,0.3419354838709678,,,,,,,,0.7733333333333333,0.9032258064516128,0.9225806451612903,0.9199999999999999,,
CP04OSSM,,,,,,,,,,,,,,0.2724014336917563,0.4229390681003584,0.42063492063492064,0.4175627240143369,0.4037037037037037,0.4444444444444444,0.4148148148148148,0.41039426523297495,0.3817204301075269,0.3888888888888889,0.36200716845878145,0.22592592592592592,0.18637992831541217,0.2007168458781362,0.0996168582375479,0.19713261648745523,0.05925925925925926,0.14157706093189967,0.6648148148148149,0.6684587813620071,0.6810035842293907,0.575925925925926,0.474910394265233,0.4148148148148148,0.41577060931899645,0.4068100358422939,0.3571428571428571,0.3530465949820789,0.3351851851851852,0.32616487455197135,0.7296296296296299,0.41935483870967744,0.22401433691756278,0.44814814814814824,,
CP05MOAS,,,,,,0.09126984126984126,0.10407066052227347,0.09523809523809523,0.024193548387096774,,,0.23425499231950847,0.25793650793650796,0.12019969278033793,0.15437788018433182,0.17219387755102042,0.09523809523809523,0.09206349206349207,0.11213517665130569,0.13174603174603178,0.04761904761904763,0.047619047619047616,0.047619047619047616,0.15053763440860216,0.19841269841269837,0.09485407066052227,0.08755760368663591,0.09523809523809523,0.09523809523809523,0.1380952380952381,0.09523809523809523,0.18333333333333335,0.11559139784946237,0.0695084485407066,0.04325396825396825,0.04070660522273425,0.05436507936507936,0.027649769585253458,0.07219662058371736,0.14243197278911565,0.14285714285714285,0.1261904761904762,0.09062980030721966,0.0892857142857143,0.0019201228878648233,0.07488479262672813,0.15436507936507937,,
