refdes,method,stream,date,value
RS03ASHS-MJ03B-10-CTDPFB304,streamed,ctdpf_optode_sample,2017-08-22,1
RS03ASHS-MJ03B-10-CTDPFB304,streamed,ctdpf_optode_sample,2017-08-24,1
RS03ASHS-MJ03B-10-CTDPFB304,streamed,ctdpf_optode_sample,2017-08-29,1
RS03ASHS-MJ03B-10-CTDPFB304,streamed,ctdpf_optode_sample,2017-08-25,1
RS03ASHS-MJ03B-10-CTDPFB304,streamed,ctdpf_optode_sample,2017-08-30,1
RS03ASHS-MJ03B-10-CTDPFB304,streamed,ctdpf_optode_sample,2017-08-23,1
RS03ASHS-MJ03B-10-CTDPFB304,streamed,ctdpf_optode_sample,2017-09-04,1
RS03ASHS-MJ03B-10-CTDPFB304,streamed,ctdpf_optode_sample,2017-09-01,1
RS03ASHS-MJ03B-10-CTDPFB304,streamed,ctdpf_optode_sample,2017-08-17,1
RS03ASHS-MJ03B-10-CTDPFB304,streamed,ctdpf_optode_sample,2017-08-19,1
RS03ASHS-MJ03B-10-CTDPFB304,streamed,ctdpf_optode_sample,2017-08-27,1
RS03ASHS-MJ03B-10-CTDPFB304,streamed,ctdpf_optode_sample,2017-08-21,1
RS03ASHS-MJ03B-10-CTDPFB304,streamed,ctdpf_optode_sample,2017-08-28,1
RS03ASHS-MJ03B-10-CTDPFB304,streamed,ctdpf_optode_sample,2017-09-02,1
RS03ASHS-MJ03B-10-CTDPFB304,streamed,ctdpf_optode_sample,2017-09-03,1
RS03ASHS-MJ03B-10-CTDPFB304,streamed,ctdpf_optode_sample,2017-09-05,1
RS03ASHS-MJ03B-10-CTDPFB304,streamed,ctdpf_optode_sample,2017-08-31,1
RS03ASHS-MJ03B-10-CTDPFB304,streamed,ctdpf_optode_sample,2017-08-20,1
RS03ASHS-MJ03B-10-CTDPFB304,streamed,ctdpf_optode_sample,2017-08-18,1
RS03ASHS-MJ03B-10-CTDPFB304,streamed,ctdpf_optode_sample,2017-09-07,1
RS03ASHS-MJ03B-10-CTDPFB304,streamed,ctdpf_optode_sample,2017-09-06,1
RS03ASHS-MJ03B-10-CTDPFB304,streamed,ctdpf_optode_sample,2017-09-11,1
RS03ASHS-MJ03B-10-CTDPFB304,streamed,ctdpf_optode_sample,2017-08-26,1
RS03ASHS-MJ03B-10-CTDPFB304,streamed,ctdpf_optode_sample,2017-09-15,1
RS03ASHS-MJ03B-10-CTDPFB304,streamed,ctdpf_optode_sample,2017-09-10,1
RS03ASHS-MJ03B-10-CTDPFB304,streamed,ctdpf_optode_sample,2017-09-09,1
RS03ASHS-MJ03B-10-CTDPFB304,streamed,ctdpf_optode_sample,2017-09-08,1
RS03ASHS-MJ03B-10-CTDPFB304,streamed,ctdpf_optode_sample,2017-09-12,1
RS03ASHS-MJ03B-10-CTDPFB304,streamed,ctdpf_optode_sample,2017-09-19,1
RS03ASHS-MJ03B-10-CTDPFB304,streamed,ctdpf_optode_sample,2017-09-14,1
RS03ASHS-MJ03B-10-CTDPFB304,streamed,ctdpf_optode_sample,2017-09-25,1
RS03ASHS-MJ03B-10-CTDPFB304,streamed,ctdpf_optode_sample,2017-09-17,1
RS03ASHS-MJ03B-10-CTDPFB304,streamed,ctdpf_optode_sample,2017-09-16,1
RS03ASHS-MJ03B-10-CTDPFB304,streamed,ctdpf_optode_sample,2017-09-13,1
RS03ASHS-MJ03B-10-CTDPFB304,streamed,ctdpf_optode_sample,2017-09-22,1
RS03ASHS-MJ03B-10-CTDPFB304,streamed,ctdpf_optode_sample,2017-09-28,1
RS03ASHS-MJ03B-10-CTDPFB304,streamed,ctdpf_optode_sample,2017-09-24,1
RS03ASHS-MJ03B-10-CTDPFB304,streamed,ctdpf_optode_sample,2017-09-21,1
RS03ASHS-MJ03B-10-CTDPFB304,streamed,ctdpf_optode_sample,2017-09-18,1
RS03ASHS-MJ03B-10-CTDPFB304,streamed,ctdpf_optode_sample,2017-09-26,1
RS03ASHS-MJ03B-10-CTDPFB304,streamed,ctdpf_optode_sample,2017-10-02,1
RS03ASHS-MJ03B-10-CTDPFB304,streamed,ctdpf_optode_sample,2017-10-05,1
RS03ASHS-MJ03B-10-CTDPFB304,streamed,ctdpf_optode_sample,2017-10-01,1
RS03ASHS-MJ03B-10-CTDPFB304,streamed,ctdpf_optode_sample,2017-09-27,1
RS03ASHS-MJ03B-10-CTDPFB304,streamed,ctdpf_optode_sample,2017-09-20,1
RS03ASHS-MJ03B-10-CTDPFB304,streamed,ctdpf_optode_sample,2017-09-29,1
RS03ASHS-MJ03B-10-CTDPFB304,streamed,ctdpf_optode_sample,2017-10-03,1
RS03ASHS-MJ03B-10-CTDPFB304,streamed,ctdpf_optode_sample,2017-09-23,1
RS03ASHS-MJ03B-10-CTDPFB304,streamed,ctdpf_optode_sample,2017-09-30,1
RS03ASHS-MJ03B-10-CTDPFB304,streamed,ctdpf_optode_sample,2017-10-11,1
RS03ASHS-MJ03B-10-CTDPFB304,streamed,ctdpf_optode_sample,2017-10-13,1
RS03ASHS-MJ03B-10-CTDPFB304,streamed,ctdpf_optode_sample,2017-10-06,1
RS03ASHS-MJ03B-10-CTDPFB304,streamed,ctdpf_optode_sample,2017-10-14,1
RS03ASHS-MJ03B-10-CTDPFB304,streamed,ctdpf_optode_sample,2017-10-04,1
RS03ASHS-MJ03B-10-CTDPFB304,streamed,ctdpf_optode_sample,2017-10-18,1
RS03ASHS-MJ03B-10-CTDPFB304,streamed,ctdpf_optode_sample,2017-10-08,1
RS03ASHS-MJ03B-10-CTDPFB304,streamed,ctdpf_optode_sample,2017-10-07,1
RS03ASHS-MJ03B-10-CTDPFB304,streamed,ctdpf_optode_sample,2017-10-19,1
RS03ASHS-MJ03B-10-CTDPFB304,streamed,ctdpf_optode_sample,2017-10-10,1
RS03ASHS-MJ03B-10-CTDPFB304,streamed,ctdpf_optode_sample,2017-10-09,1
RS03ASHS-MJ03B-10-CTDPFB304,streamed,ctdpf_optode_sample,2017-10-12,1
RS03ASHS-MJ03B-10-CTDPFB304,streamed,ctdpf_optode_sample,2017-10-23,1
RS03ASHS-MJ03B-10-CTDPFB304,streamed,ctdpf_optode_sample,2017-10-29,1
RS03ASHS-MJ03B-10-CTDPFB304,streamed,ctdpf_optode_sample,2017-10-16,1
RS03ASHS-MJ03B-10-CTDPFB304,streamed,ctdpf_optode_sample,2017-10-15,1
RS03ASHS-MJ03B-10-CTDPFB304,streamed,ctdpf_optode_sample,2017-10-17,1
RS03ASHS-MJ03B-10-CTDPFB304,streamed,ctdpf_optode_sample,2017-10-20,1
RS03ASHS-MJ03B-10-CTDPFB304,streamed,ctdpf_optode_sample,2017-10-24,1
RS03ASHS-MJ03B-10-CTDPFB304,streamed,ctdpf_optode_sample,2017-10-25,1
RS03ASHS-MJ03B-10-CTDPFB304,streamed,ctdpf_optode_sample,2017-10-21,1
RS03ASHS-MJ03B-10-CTDPFB304,streamed,ctdpf_optode_sample,2017-11-04,1
RS03ASHS-MJ03B-10-CTDPFB304,streamed,ctdpf_optode_sample,2017-10-28,1
RS03ASHS-MJ03B-10-CTDPFB304,streamed,ctdpf_optode_sample,2017-11-05,1
RS03ASHS-MJ03B-10-CTDPFB304,streamed,ctdpf_optode_sample,2017-10-22,1
RS03ASHS-MJ03B-10-CTDPFB304,streamed,ctdpf_optode_sample,2017-10-26,1
RS03ASHS-MJ03B-10-CTDPFB304,streamed,ctdpf_optode_sample,2017-10-31,1
RS03ASHS-MJ03B-10-CTDPFB304,streamed,ctdpf_optode_sample,2017-10-30,1
RS03ASHS-MJ03B-10-CTDPFB304,streamed,ctdpf_optode_sample,2017-10-27,1
RS03ASHS-MJ03B-10-CTDPFB304,streamed,ctdpf_optode_sample,2017-11-08,1
RS03ASHS-MJ03B-10-CTDPFB304,streamed,ctdpf_optode_sample,2017-11-13,1
RS03ASHS-MJ03B-10-CTDPFB304,streamed,ctdpf_optode_sample,2017-11-01,1
RS03ASHS-MJ03B-10-CTDPFB304,streamed,ctdpf_optode_sample,2017-11-12,1
RS03ASHS-MJ03B-10-CTDPFB304,streamed,ctdpf_optode_sample,2017-11-03,1
RS03ASHS-MJ03B-10-CTDPFB304,streamed,ctdpf_optode_sample,2017-11-06,1
RS03ASHS-MJ03B-10-CTDPFB304,streamed,ctdpf_optode_sample,2017-11-02,1
RS03ASHS-MJ03B-10-CTDPFB304,streamed,ctdpf_optode_sample,2017-11-07,1
RS03ASHS-MJ03B-10-CTDPFB304,streamed,ctdpf_optode_sample,2017-11-11,1
RS03ASHS-MJ03B-10-CTDPFB304,streamed,ctdpf_optode_sample,2017-11-10,1
RS03ASHS-MJ03B-10-CTDPFB304,streamed,ctdpf_optode_sample,2017-11-09,1
RS03ASHS-MJ03B-10-CTDPFB304,streamed,ctdpf_optode_sample,2017-08-15,0
RS03ASHS-MJ03B-10-CTDPFB304,streamed,ctdpf_optode_sample,2017-08-16,0
RS03ASHS-MJ03B-10-CTDPFB304,streamed,ctdpf_optode_sample,2017-11-14,0
